tweet_id,favorite_count,retweet_count
892420643555336193,37920,8281
892177421306343426,32570,6117
891815181378084864,24523,4051
891689557279858688,41268,8422
891327558926688256,39446,9122
891087950875897856,19827,3037
890971913173991426,11592,2008
890729181411237888,63968,18373
890609185150312448,27233,4172
890240255349198849,31255,7188
890006608113172480,30022,7140
889880896479866881,27235,4847
889665388333682689,47117,9780
889638837579907072,26573,4408
889531135344209921,14799,2191
889278841981685760,24713,5228
888917238123831296,28516,4390
888804989199671297,25037,4175
888554962724278272,19409,3452
888078434458587136,21298,3403
887705289381826560,29553,5250
887517139158093824,45293,11386
887473957103951883,67549,17706
887343217045368832,32972,10152
887101392804085760,29942,5810
886983233522544640,34407,7575
886736880519319552,11816,3195
886680336477933568,21964,4352
886366144734445568,20757,3120
886267009285017600,116,4
886258384151887873,27417,6130
886054160059072513,0,104
885984800019947520,31952,6596
885528943205470208,35217,6264
885518971528720385,20009,3661
885311592912609280,0,18082
885167619883638784,21468,4276
884925521741709313,75783,17793
884876753390489601,27340,5471
884562892145688576,23801,4572
884441805382717440,26441,5519
884247878851493888,71485,19991
884162670584377345,19934,2911
883838122936631299,21444,3365
883482846933004288,44953,9679
883360690899218434,22214,3610
883117836046086144,36384,6497
882992080364220416,23466,3827
882762694511734784,27700,4786
882627270321602560,27359,5938
882268110199369728,44007,11312
882045870035918850,28751,4843
881906580714921986,23813,3312
881666595344535552,49542,10416
881633300179243008,124,7
881536004380872706,48403,15572
881268444196462592,22617,5054
880935762899988482,16681,2715
880872448815771648,20846,3735
880465832366813184,27938,6130
880221127280381952,26487,4115
880095782870896641,27052,4245
879862464715927552,21888,3414
879674319642796034,304,10
879492040517615616,22945,3107
879415818425184262,103712,43271
879376492567855104,16451,3043
879130579576475649,0,6659
879050749262655488,22082,4606
879008229531029506,18597,2636
878776093423087618,19021,4038
878604707211726852,29641,7040
878404777348136964,0,1259
878316110768087041,0,6500
878281511006478336,7590,1259
878057613040115712,41186,6659
877736472329191424,78160,18663
877611172832227328,0,79
877556246731214848,22279,3725
877316821321428993,26845,5073
877201837425926144,26594,5463
876838120628539392,20304,3269
876537666061221889,23067,4547
876484053909872640,18407,2351
876120275196170240,27401,4590
875747767867523072,24720,4209
875144289856114688,21528,4835
875097192612077568,26897,5936
875021211251597312,24997,4628
874680097055178752,27306,4555
874434818259525634,0,14437
874296783580663808,25575,4029
874057562936811520,22275,3890
874012996292530176,33945,10218
873580283840344065,23784,3872
873337748698140672,0,1559
873213775632977920,7108,1559
872967104147763200,26876,5328
872820683541237760,14474,3634
872620804844003328,20454,3638
872486979161796608,40039,8899
872261713294495745,33661,6234
872122724285648897,33880,8018
871879754684805121,37361,11007
871762521631449091,19962,3435
871515927908634625,19914,3418
871166179821445120,0,5633
871102520638267392,20647,5450
871032628920680449,22364,3776
870804317367881728,33195,6146
870726314365509632,117,3
870656317836468226,12251,2614
870374049280663552,81707,25990
870308999962521604,21574,4121
870063196459192321,36224,8278
869772420881756160,41922,9958
869702957897576449,27924,6303
869596645499047938,15803,3119
869227993411051520,20245,3767
868880397819494401,64961,14398
868639477480148993,0,2087
868622495443632128,26487,5275
868552278524837888,10043,2087
867900495410671616,24002,4170
867774946302451713,33705,7319
867421006826221569,15990,2499
867072653475098625,0,121
867051520902168576,32023,7853
866720684873056260,19942,4806
866686824827068416,19198,3475
866450705531457537,121553,35290
866334964761202691,52282,14437
866094527597207552,0,8375
865718153858494464,25524,5624
865359393868664832,26368,5007
865006731092295680,27901,7699
864873206498414592,32183,8730
864279568663928832,14585,3039
864197398364647424,30078,8961
863907417377173506,20566,4161
863553081350529029,15275,4203
863471782782697472,0,2461
863432100342583297,23794,5278
863427515083354112,2260,97
863079547188785154,8756,1113
863062471531167744,8520,2461
862831371563274240,19169,5134
862722525377298433,17054,3552
862457590147678208,20540,4994
862096992088072192,74591,23478
861383897657036800,36153,10802
